Time,Symbol,Side,Type,Price,Size_USDT,Leverage,PnL_USDT,PnL_Percent
2025-11-21 17:22:05,ZKC,LONG,OPEN,0.156200,30.00,4,0.00,0.00%
2025-11-21 17:22:26,ZKC,LONG,CLOSE,0.157300,30.00,4,0.8460,2.82%
2025-11-21 17:30:05,ZKC,LONG,OPEN,0.153100,30.00,4,0.00,0.00%
2025-11-21 17:33:04,ZKC,LONG,CLOSE,0.157500,30.00,4,0.8610,2.87%
2025-11-21 17:56:47,WLFI,SHORT,OPEN,0.132400,30.00,4,0.00,0.00%
2025-11-21 18:26:05,WLFI,SHORT,CLOSE,0.137900,30.00,4,-1.2450,-4.15%
2025-11-21 19:24:02,PARTI,SHORT,OPEN,0.065000,30.00,4,0.00,0.00%
2025-11-21 19:24:19,PARTI,SHORT,CLOSE,0.065700,30.00,4,-0.3240,-1.08%
2025-11-21 20:10:30,GPS,LONG,OPEN,0.006750,30.00,4,0.00,0.00%
2025-11-21 20:10:55,PARTI,LONG,OPEN,0.092700,30.00,4,0.00,0.00%
2025-11-21 20:11:01,GPS,LONG,CLOSE,0.093800,30.00,4,0.8010,2.67%
2025-11-21 20:11:17,PARTI,LONG,CLOSE,0.095600,30.00,4,0.9390,3.13%
2025-11-21 20:16:13,GPS,LONG,OPEN,0.006970,30.00,4,0.00,0.00%
2025-11-21 20:16:41,PARTI,LONG,OPEN,0.094100,30.00,4,0.00,0.00%
2025-11-21 20:16:55,PARTI,LONG,CLOSE,0.096100,30.00,4,0.6390,2.13%
2025-11-21 20:17:10,GPS,LONG,CLOSE,0.007140,30.00,4,0.7320,2.44%
2025-11-21 20:21:55,GPS,LONG,OPEN,0.007440,30.00,4,0.00,0.00%
2025-11-21 20:23:39,GPS,LONG,CLOSE,0.006930,30.00,4,-2.0550,-6.85%
2025-11-21 20:28:32,GPS,LONG,OPEN,0.006600,30.00,4,0.00,0.00%
2025-11-21 20:36:38,GPS,LONG,CLOSE,0.006760,30.00,4,0.7260,2.42%
2025-11-21 20:41:15,GPS,LONG,OPEN,0.007400,30.00,4,0.00,0.00%
2025-11-21 20:42:35,GPS,LONG,CLOSE,0.007580,30.00,4,0.7290,2.43%
2025-11-21 20:48:00,GPS,LONG,OPEN,0.007600,30.00,4,0.00,0.00%
2025-11-21 20:48:29,GPS,LONG,CLOSE,0.007990,30.00,4,1.5390,5.13%
2025-11-21 20:59:51,GPS,LONG,OPEN,0.008050,30.00,4,0.00,0.00%
2025-11-21 21:03:07,GPS,LONG,CLOSE,0.007800,30.00,4,-0.9330,-3.11%
2025-11-21 21:11:04,ANIME,LONG,OPEN,0.008140,30.00,4,0.00,0.00%
2025-11-21 21:11:28,ANIME,LONG,CLOSE,0.008520,30.00,4,1.4010,4.67%
2025-11-21 21:57:31,SPELL,LONG,OPEN,0.000317,30.00,4,0.00,0.00%
2025-11-21 21:58:02,SPELL,LONG,CLOSE,0.000298,30.00,4,-1.8630,-6.21%
2025-11-22 00:06:31,GPS,LONG,OPEN,0.007250,30.00,4,0.00,0.00%
2025-11-22 00:16:05,GPS,LONG,CLOSE,0.007270,30.00,4,0.0840,0.28%
